    batch 490/500, loss=0.0920
    batch 500/500, loss=0.0814
Epoch 74/150 — loss=0.1194, lr=2.71e-03, time=317.8s
    batch 10/500, loss=0.1110
    batch 20/500, loss=0.1626
    batch 30/500, loss=0.0963
    batch 40/500, loss=0.0826
    batch 50/500, loss=0.1228
    batch 60/500, loss=0.1483
    batch 70/500, loss=0.0999
    batch 80/500, loss=0.0964
    batch 90/500, loss=0.1332
    batch 100/500, loss=0.1120
    batch 110/500, loss=0.1081
    batch 120/500, loss=0.0994
    batch 130/500, loss=0.0655
    batch 140/500, loss=0.1385
    batch 150/500, loss=0.1348
    batch 160/500, loss=0.1582
    batch 170/500, loss=0.1828
    batch 180/500, loss=0.0707
    batch 190/500, loss=0.1100
    batch 200/500, loss=0.1735
    batch 210/500, loss=0.0999
    batch 220/500, loss=0.1182
    batch 230/500, loss=0.1040
    batch 240/500, loss=0.0600
    batch 250/500, loss=0.0985
    batch 260/500, loss=0.1066
    batch 270/500, loss=0.0725
    batch 280/500, loss=0.3651
    batch 290/500, loss=0.0843
    batch 300/500, loss=0.0910
    batch 310/500, loss=0.0981
    batch 320/500, loss=0.1664
    batch 330/500, loss=0.0715
    batch 340/500, loss=0.1386
    batch 350/500, loss=0.1038
    batch 360/500, loss=0.1538
    batch 370/500, loss=0.1463
    batch 380/500, loss=0.0790
    batch 390/500, loss=0.1437
    batch 400/500, loss=0.0729
    batch 410/500, loss=0.1203
    batch 420/500, loss=0.0849
    batch 430/500, loss=0.1113
    batch 440/500, loss=0.0688
    batch 450/500, loss=0.1344
    batch 460/500, loss=0.0946
    batch 470/500, loss=0.0927
    batch 480/500, loss=0.1141
    batch 490/500, loss=0.1030
    batch 500/500, loss=0.0886
Epoch 75/150 — loss=0.1194, lr=2.68e-03, time=367.9s
    batch 10/500, loss=0.1275
    batch 20/500, loss=0.1629
    batch 30/500, loss=0.0935
    batch 40/500, loss=0.1199
    batch 50/500, loss=0.1660
    batch 60/500, loss=0.0983
    batch 70/500, loss=0.0707
    batch 80/500, loss=0.1161
    batch 90/500, loss=0.1152
    batch 100/500, loss=0.1144
    batch 110/500, loss=0.1363
    batch 120/500, loss=0.0702
    batch 130/500, loss=0.0718
    batch 140/500, loss=0.1188
    batch 150/500, loss=0.0757
    batch 160/500, loss=0.1211
    batch 170/500, loss=0.1087
    batch 180/500, loss=0.0981
    batch 190/500, loss=0.1140
    batch 200/500, loss=0.0958
    batch 210/500, loss=0.1022
    batch 220/500, loss=0.0962
    batch 230/500, loss=0.1280
    batch 240/500, loss=0.1143
    batch 250/500, loss=0.0984
    batch 260/500, loss=0.1231
    batch 270/500, loss=0.1084
    batch 280/500, loss=0.0805
    batch 290/500, loss=0.4665
    batch 300/500, loss=0.0899
    batch 310/500, loss=0.1022
    batch 320/500, loss=0.1152
    batch 330/500, loss=0.0587
    batch 340/500, loss=0.0941
    batch 350/500, loss=0.1212
    batch 360/500, loss=0.1086
    batch 370/500, loss=0.0988
    batch 380/500, loss=0.0971
    batch 390/500, loss=0.1098
    batch 400/500, loss=0.0936
    batch 410/500, loss=0.1176
    batch 420/500, loss=0.0887
    batch 430/500, loss=0.1318
    batch 440/500, loss=0.1735
    batch 450/500, loss=0.1443
    batch 460/500, loss=0.0802
    batch 470/500, loss=0.0672
    batch 480/500, loss=0.1430
    batch 490/500, loss=0.0994
    batch 500/500, loss=0.0626
Epoch 76/150 — loss=0.1155, lr=2.65e-03, time=335.5s
    batch 10/500, loss=0.0786
    batch 20/500, loss=0.0464
    batch 30/500, loss=0.0975
    batch 40/500, loss=0.1187
    batch 50/500, loss=0.1592
    batch 60/500, loss=0.0852
    batch 70/500, loss=0.0884
    batch 80/500, loss=0.0915
    batch 90/500, loss=0.0747
    batch 100/500, loss=0.1467
    batch 110/500, loss=0.0857
    batch 120/500, loss=0.1251
    batch 130/500, loss=0.0794
    batch 140/500, loss=0.1301
    batch 150/500, loss=0.0963
    batch 160/500, loss=0.1377
    batch 170/500, loss=0.0888
    batch 180/500, loss=0.1592
    batch 190/500, loss=0.1459
    batch 200/500, loss=0.1197
    batch 210/500, loss=0.1077
    batch 220/500, loss=0.0971
    batch 230/500, loss=0.1313
    batch 240/500, loss=0.0939
    batch 250/500, loss=0.1242
    batch 260/500, loss=0.0785
    batch 270/500, loss=0.0618
    batch 280/500, loss=0.1023
    batch 290/500, loss=0.1148
    batch 300/500, loss=0.0926
    batch 310/500, loss=0.1305
    batch 320/500, loss=0.1437
    batch 330/500, loss=0.1317
    batch 340/500, loss=0.1391
    batch 350/500, loss=0.1085
    batch 360/500, loss=0.1282
    batch 370/500, loss=0.1302
    batch 380/500, loss=0.0806
    batch 390/500, loss=0.3777
    batch 400/500, loss=0.0774
    batch 410/500, loss=0.1706
    batch 420/500, loss=0.1045
    batch 430/500, loss=0.3323
    batch 440/500, loss=0.0613
    batch 450/500, loss=0.1072
    batch 460/500, loss=0.1464
    batch 470/500, loss=0.0787
    batch 480/500, loss=0.1197
    batch 490/500, loss=0.1393
    batch 500/500, loss=0.1163
Epoch 77/150 — loss=0.1171, lr=2.62e-03, time=333.3s
    batch 10/500, loss=0.0611
    batch 20/500, loss=0.1557
    batch 30/500, loss=0.1647
    batch 40/500, loss=0.1347
    batch 50/500, loss=0.0629
    batch 60/500, loss=0.0783
    batch 70/500, loss=0.1495
    batch 80/500, loss=0.1145
    batch 90/500, loss=0.0578
    batch 100/500, loss=0.1464
    batch 110/500, loss=0.0653
    batch 120/500, loss=0.0511
    batch 130/500, loss=0.1237
    batch 140/500, loss=0.1026
    batch 150/500, loss=0.0771
    batch 160/500, loss=0.1417
    batch 170/500, loss=0.1067
    batch 180/500, loss=0.1170
    batch 190/500, loss=0.0733
    batch 200/500, loss=0.1204
    batch 210/500, loss=0.1046
    batch 220/500, loss=0.0976
    batch 230/500, loss=0.1022
    batch 240/500, loss=0.0707
    batch 250/500, loss=0.1737
    batch 260/500, loss=0.1337
    batch 270/500, loss=0.0883
    batch 280/500, loss=0.1344
    batch 290/500, loss=0.0544
    batch 300/500, loss=0.0645
    batch 310/500, loss=0.1149
    batch 320/500, loss=0.1082
    batch 330/500, loss=0.0510
    batch 340/500, loss=0.0560
    batch 350/500, loss=0.0758
    batch 360/500, loss=0.1384
    batch 370/500, loss=0.1264
    batch 380/500, loss=0.1287
    batch 390/500, loss=0.1392
    batch 400/500, loss=0.1561
    batch 410/500, loss=0.0963
    batch 420/500, loss=0.1502
    batch 430/500, loss=0.1792
    batch 440/500, loss=0.1178
    batch 450/500, loss=0.0880
    batch 460/500, loss=0.0817
    batch 470/500, loss=0.0622
    batch 480/500, loss=0.1194
    batch 490/500, loss=0.0966
    batch 500/500, loss=0.1471
Epoch 78/150 — loss=0.1194, lr=2.58e-03, time=380.4s
    batch 10/500, loss=0.1033
    batch 20/500, loss=0.1427
    batch 30/500, loss=0.0795
    batch 40/500, loss=0.0794
    batch 50/500, loss=0.0781
    batch 60/500, loss=0.1152
    batch 70/500, loss=0.0997
    batch 80/500, loss=0.1226
    batch 90/500, loss=0.1208
    batch 100/500, loss=0.1190
    batch 110/500, loss=0.1874
    batch 120/500, loss=0.0738
    batch 130/500, loss=0.1107
    batch 140/500, loss=0.1032
    batch 150/500, loss=0.0553
    batch 160/500, loss=0.1110
    batch 170/500, loss=0.1271
    batch 180/500, loss=0.0927
    batch 190/500, loss=0.1295
    batch 200/500, loss=0.1699
    batch 210/500, loss=0.1537
    batch 220/500, loss=0.1844
    batch 230/500, loss=0.0951
    batch 240/500, loss=0.1625
    batch 250/500, loss=0.1483
    batch 260/500, loss=0.1191
    batch 270/500, loss=0.1379
    batch 280/500, loss=0.1099
    batch 290/500, loss=0.1462
    batch 300/500, loss=0.1094
    batch 310/500, loss=0.1315
    batch 320/500, loss=0.4095
    batch 330/500, loss=0.0840
    batch 340/500, loss=0.1143
    batch 350/500, loss=0.0997
    batch 360/500, loss=0.1104
    batch 370/500, loss=0.0792
    batch 380/500, loss=0.1331
    batch 390/500, loss=0.1803
    batch 400/500, loss=0.1123
    batch 410/500, loss=0.1569
    batch 420/500, loss=0.1275
    batch 430/500, loss=0.1452
    batch 440/500, loss=0.1228
    batch 450/500, loss=0.0596
    batch 460/500, loss=0.1067
    batch 470/500, loss=0.0920
    batch 480/500, loss=0.1429
    batch 490/500, loss=0.1073
    batch 500/500, loss=0.1242
Epoch 79/150 — loss=0.1169, lr=2.55e-03, time=311.6s
    batch 10/500, loss=0.1006
    batch 20/500, loss=0.0953
    batch 30/500, loss=0.0720
    batch 40/500, loss=0.0801
    batch 50/500, loss=0.0728
    batch 60/500, loss=0.0742
    batch 70/500, loss=0.1335
    batch 80/500, loss=0.1064
    batch 90/500, loss=0.0523
    batch 100/500, loss=0.0784
    batch 110/500, loss=0.1655
    batch 120/500, loss=0.0856
    batch 130/500, loss=0.1334
    batch 140/500, loss=0.1756
    batch 150/500, loss=0.1114
    batch 160/500, loss=0.0491
    batch 170/500, loss=0.0663
    batch 180/500, loss=0.0831
    batch 190/500, loss=0.2971
    batch 200/500, loss=0.0558
    batch 210/500, loss=0.0546
    batch 220/500, loss=0.0892
    batch 230/500, loss=0.0998
    batch 240/500, loss=0.0884
    batch 250/500, loss=0.1470
    batch 260/500, loss=0.1014
    batch 270/500, loss=0.1148
    batch 280/500, loss=0.0878
    batch 290/500, loss=0.1221
    batch 300/500, loss=0.1026
    batch 310/500, loss=0.1188
    batch 320/500, loss=0.0607
    batch 330/500, loss=0.1160
    batch 340/500, loss=0.0651
    batch 350/500, loss=0.0976
    batch 360/500, loss=0.1702
    batch 370/500, loss=0.0956
    batch 380/500, loss=0.1306
    batch 390/500, loss=0.1283
    batch 400/500, loss=0.0816
    batch 410/500, loss=0.0848
    batch 420/500, loss=0.1215
    batch 430/500, loss=0.0548
    batch 440/500, loss=0.0864
    batch 450/500, loss=0.1357
    batch 460/500, loss=0.1119
    batch 470/500, loss=0.1025
    batch 480/500, loss=0.1251
    batch 490/500, loss=0.1409
    batch 500/500, loss=0.1592
Epoch 80/150 — loss=0.1124, lr=2.52e-03, time=342.8s
  ballPNG: MAE = 54.22°
    batch 10/500, loss=0.1191
    batch 20/500, loss=0.1258
    batch 30/500, loss=0.1154
    batch 40/500, loss=0.0886
    batch 50/500, loss=0.1031
    batch 60/500, loss=0.1320
    batch 70/500, loss=0.1197
    batch 80/500, loss=0.0866
    batch 90/500, loss=0.2888
    batch 100/500, loss=0.1117
    batch 110/500, loss=0.1199
    batch 120/500, loss=0.1014
    batch 130/500, loss=0.0588
    batch 140/500, loss=0.1021
    batch 150/500, loss=0.0992
    batch 160/500, loss=0.0902
    batch 170/500, loss=0.1341
    batch 180/500, loss=0.1326
    batch 190/500, loss=0.1073
    batch 200/500, loss=0.1356
    batch 210/500, loss=0.0925
    batch 220/500, loss=0.0756
    batch 230/500, loss=0.0761
    batch 240/500, loss=0.0767
    batch 250/500, loss=0.0824
